date,headline,food,transport,housing_utilities,education,health,restaurants_hotels,communication,recreation_culture,misc_goods_services,services_proxy,headline_infl_mom_pct,headline_infl_yoy_pct,food_infl_mom_pct,food_infl_yoy_pct,transport_infl_mom_pct,transport_infl_yoy_pct,housing_utilities_infl_mom_pct,housing_utilities_infl_yoy_pct,services_proxy_infl_mom_pct,services_proxy_infl_yoy_pct
2024-03-01,123.8592688,132.3626953,125.9181398,119.3910583,112.2439588,118.9158193,118.0817962,102.1998805,114.6043581,106.4048361,112.07510816666667,0.08472141686042267,2.682333713317253,0.14133773781417336,1.2717284430229236,0.021404912749867222,9.133762469178187,-0.02257297620703591,6.102348721292916,0.1775270395681483,3.069609258136463
2024-04-01,124.1879366,132.8628342,126.1490769,119.4474478,112.2439588,119.3322479,118.2041681,101.7435002,115.66959,106.4902766,112.2806236,0.26535583746316593,3.0526806566458786,0.37785487736285983,2.368811197808318,0.18340256643467612,6.545502196627684,0.04723092399292472,6.107090045391583,0.18337295113532992,2.868553082755243
2024-05-01,124.316112,132.8742796,126.0873661,119.7644389,112.2439588,119.1678833,118.2693852,102.2029102,117.0852052,107.4524981,112.73697346666665,0.10321082989956931,2.7300462054321795,0.008614448178012601,2.0602784311311906,-0.048918946944742636,5.089176231687587,0.26538122483015236,5.858034151879465,0.40643688290546987,2.8330710585990238
2024-06-01,124.8419657,133.7770538,126.1510131,119.8047589,112.2439588,119.4778369,118.7272101,101.7511478,120.930127,107.6843797,113.46911005,0.42299722179213184,3.096960665467008,0.6794198265591245,2.9841021724398953,0.050478491199124065,4.073173357504678,0.03366608683705863,5.671478473863267,0.6494201155309742,3.021812925816292
2024-07-01,125.3331556,134.6353065,126.3269698,119.6858942,112.2439588,120.007319,118.8249323,102.1938341,121.0302692,107.862288,113.69376690000001,0.39344934793830166,3.0391048364893924,0.6415544935554518,3.007352636167826,0.13948100429483912,3.507725959143637,-0.09921534093583206,4.974174023260236,0.19798943509914402,3.2298859100560406
2024-08-01,126.2115767,136.3007326,126.4514569,119.465253,112.2439588,120.0666372,119.5108709,102.2305008,121.215063,108.1508528,113.90298058333333,0.7008688928278994,2.6556967766897976,1.2369906106315387,2.823069389045574,0.09854356531870945,2.9618121002826125,-0.18435021225751136,3.2188290375477324,0.18401508634799946,2.925992379497333
2024-09-01,126.4898042,136.9446143,127.0300933,118.902548,112.2439588,120.4958418,119.5186043,101.7534975,121.1765475,108.3155391,113.9173315,0.2204453088018532,2.737282669510832,0.4723978277428653,2.9941351427188234,0.4575956767802314,3.013669808830266,-0.47101980355744866,2.824563748354625,0.012599245948763382,3.0596665063864714
2024-10-01,126.4270771,136.483442,127.0572818,118.8244605,114.0968732,121.3063337,120.0871292,102.2077934,121.1932257,108.4808604,114.56203593333333,-0.04959063728235957,2.4884187249881284,-0.33675825979526675,2.890353139190127,0.021403196119673673,2.6609765129395724,-0.06567352955295647,2.6969506422744427,0.5659406034571157,2.5958197228071356
2024-11-01,125.1140178,133.6388322,127.1849031,119.3513443,115.272084,120.4445096,120.4043795,101.748154,121.6021559,108.5181387,114.66490361666666,-1.0385902530685054,1.5574970688317258,-2.0842160472477,0.7916081830320332,0.10044390859933472,2.8457497995681313,0.44341358486537086,3.066306535704899,0.08979212222903765,2.965442854706213
2024-12-01,125.1528013,133.8956854,127.109585,118.3183622,115.6848638,121.0051935,120.9547386,102.2378928,121.2014173,108.9404493,115.00409255,0.030998524931069582,1.4660819792993607,0.19219952447324662,1.086255350998,-0.059219371296592715,1.2562077090367607,-0.8654968287608922,2.182015637028556,0.2958088505156331,3.0780126179637435
2025-01-01,124.9,133.5,127.3,117.8,115.7,121.5,120.9,102.2,121.5,109.0,115.13333333333333,-0.20199412028660824,1.0490890307010226,-0.29551766273716584,1.0848727774532163,0.14980380905185164,1.4180611316925384,-0.43810799132241174,-1.0151438384808587,0.11237929056928664,2.9690805807410348
2025-02-01,124.8,133.2,127.3,117.9,115.7,121.8,121.4,101.7,121.8,109.5,115.31666666666666,-0.08006405124100224,0.8448810802617945,-0.22471910112360494,0.7748154149052278,0.0,1.1190672417561887,0.08488964346351491,-1.2711771388562054,0.15923566878981443,3.074970723505399
2025-03-01,124.9,133.1,127.3,118.4,115.7,121.3,121.3,102.2,122.0,110.1,115.43333333333334,0.08012820512821595,0.8402529823428262,-0.07507507507507061,0.5570336100582329,0.0,1.0974274256233763,0.4240882103477617,-0.8300942416556101,0.10117068940598273,2.996405911714728
2025-04-01,125.3,133.9,127.2,118.7,115.7,121.2,121.4,101.8,123.4,109.0,115.41666666666667,0.32025620496396456,0.8954681351876159,0.6010518407212784,0.7806289894725094,-0.07855459544382493,0.8330802934317871,0.2533783783783772,-0.6257545169583767,-0.014438348252954203,2.7930403003806115
2025-05-01,125.5,134.1,127.5,118.6,115.7,120.3,121.4,102.3,124.4,110.2,115.71666666666668,0.15961691939345712,0.9523206452917377,0.14936519790886837,0.9224662618603663,0.2358490566037652,1.1203611778833222,-0.08424599831509116,-0.9722743334290462,0.2599277978339476,2.643048778385948
2025-06-01,125.6,134.7,127.3,117.6,115.7,121.1,121.6,101.8,122.7,109.5,115.39999999999999,0.07968127490038945,0.6071951012222687,0.4474272930648837,0.6899136838368403,-0.15686274509804088,0.9108027528000884,-0.8431703204047181,-1.8402932573323705,-0.27365692063950897,1.7016877537412212
2025-07-01,127.0,136.6,127.3,119.3,116.1,120.7,122.4,102.1,124.0,110.5,115.96666666666668,1.1146496815286566,1.3299309285084382,1.4105419450631151,1.4592706408701028,0.0,0.7702473996965997,1.4455782312925214,-0.3224224563632916,0.49104563835935533,1.9991419306792935
2025-08-01,128.0,138.3,127.7,119.2,116.5,123.2,123.0,102.2,123.9,111.8,116.76666666666665,0.7874015748031482,1.4170041661479393,1.2445095168374998,1.4668060558905571,0.3142183817753441,0.9873694859738658,-0.08382229673092878,-0.2220335983384225,0.6898534061511752,2.514144993105072
2025-09-01,128.4,139.0,127.6,119.2,116.7,122.9,122.7,101.8,123.8,112.0,116.64999999999999,0.31250000000000444,1.5101579230684115,0.5061460592913791,1.5008883047400001,-0.0783085356303892,0.4486391257338296,0.0,0.2501645296953736,-0.0999143591207452,2.3988171633040567
2025-10-01,128.7,139.3,127.8,118.9,117.8,123.3,122.7,102.2,123.8,111.8,116.93333333333332,0.2336448598130758,1.7978133736352708,0.21582733812950394,2.0636627848233946,0.15673981191222097,0.5845538244467541,-0.251677852348986,0.06357234838865189,0.24289184169166145,2.069880637753241
2025-11-01,129.2,140.1,127.3,118.9,117.6,123.5,122.2,102.4,123.9,112.4,117.0,0.38850038850037905,3.2658068790753836,0.5743000717874924,4.834798159812115,-0.391236306729259,0.09049572488135649,0.0,-0.3781644041356502,0.05701254275942702,2.0364525758812313
2025-12-01,130.2,141.9,127.6,119.1,117.7,123.5,122.3,102.3,124.2,113.0,117.16666666666667,0.7739938080495445,4.03282918765957,1.2847965738758127,5.9780227989333135,0.23566378633150808,0.38582062871184153,0.1682085786375076,0.6606225656494047,0.14245014245015675,1.8804323122035393
